102.52%,744.7MiB / 5GiB,2024-03-08 00:16:18
100.68%,744.7MiB / 5GiB,2024-03-08 00:16:25
100.58%,745.2MiB / 5GiB,2024-03-08 00:16:32
99.59%,745.6MiB / 5GiB,2024-03-08 00:16:39
99.84%,745.8MiB / 5GiB,2024-03-08 00:16:46
100.68%,746.4MiB / 5GiB,2024-03-08 00:16:53
99.25%,746.3MiB / 5GiB,2024-03-08 00:17:00
99.68%,746.4MiB / 5GiB,2024-03-08 00:17:07
101.15%,746.5MiB / 5GiB,2024-03-08 00:17:14
99.46%,746.6MiB / 5GiB,2024-03-08 00:17:21
100.12%,747.4MiB / 5GiB,2024-03-08 00:17:28
99.66%,748.1MiB / 5GiB,2024-03-08 00:17:36
99.77%,748.3MiB / 5GiB,2024-03-08 00:17:43
99.64%,748.4MiB / 5GiB,2024-03-08 00:17:50
99.58%,748.7MiB / 5GiB,2024-03-08 00:17:57
99.07%,748.9MiB / 5GiB,2024-03-08 00:18:04
100.31%,749.4MiB / 5GiB,2024-03-08 00:18:11
101.40%,749.4MiB / 5GiB,2024-03-08 00:18:18
99.64%,750MiB / 5GiB,2024-03-08 00:18:25
101.41%,749.9MiB / 5GiB,2024-03-08 00:18:32
100.08%,632.4MiB / 5GiB,2024-03-08 00:18:39
101.29%,959.9MiB / 5GiB,2024-03-08 00:18:46
19.64%,503.5MiB / 5GiB,2024-03-08 00:18:53
6.54%,421.4MiB / 5GiB,2024-03-08 00:19:00
0.02%,450.3MiB / 5GiB,2024-03-08 00:19:07
99.03%,495.9MiB / 5GiB,2024-03-08 00:19:14
98.77%,496.4MiB / 5GiB,2024-03-08 00:19:21
99.17%,498.8MiB / 5GiB,2024-03-08 00:19:29
100.13%,523.8MiB / 5GiB,2024-03-08 00:19:36
102.89%,702.1MiB / 5GiB,2024-03-08 00:19:43
99.82%,696MiB / 5GiB,2024-03-08 00:19:50
98.34%,731.6MiB / 5GiB,2024-03-08 00:19:57
98.74%,732.1MiB / 5GiB,2024-03-08 00:20:04
95.90%,742.5MiB / 5GiB,2024-03-08 00:20:11
98.08%,755.4MiB / 5GiB,2024-03-08 00:20:18
99.40%,772.8MiB / 5GiB,2024-03-08 00:20:25
98.48%,795.5MiB / 5GiB,2024-03-08 00:20:32
99.56%,797.9MiB / 5GiB,2024-03-08 00:20:39
99.86%,774MiB / 5GiB,2024-03-08 00:20:46
100.16%,745.8MiB / 5GiB,2024-03-08 00:20:53
99.32%,746.5MiB / 5GiB,2024-03-08 00:21:00
99.95%,746.5MiB / 5GiB,2024-03-08 00:21:07
99.78%,746.9MiB / 5GiB,2024-03-08 00:21:14
102.26%,747.3MiB / 5GiB,2024-03-08 00:21:21
99.53%,747.2MiB / 5GiB,2024-03-08 00:21:28
98.70%,747.1MiB / 5GiB,2024-03-08 00:21:36
99.64%,747.4MiB / 5GiB,2024-03-08 00:21:43
101.67%,748MiB / 5GiB,2024-03-08 00:21:50
99.80%,747.7MiB / 5GiB,2024-03-08 00:21:57
100.55%,748.2MiB / 5GiB,2024-03-08 00:22:04
99.84%,748.4MiB / 5GiB,2024-03-08 00:22:11
100.20%,749MiB / 5GiB,2024-03-08 00:22:18
99.19%,748.7MiB / 5GiB,2024-03-08 00:22:25
100.60%,749.1MiB / 5GiB,2024-03-08 00:22:32
99.47%,749.2MiB / 5GiB,2024-03-08 00:22:39
101.43%,749.5MiB / 5GiB,2024-03-08 00:22:46
99.55%,750.1MiB / 5GiB,2024-03-08 00:22:53
101.81%,750.4MiB / 5GiB,2024-03-08 00:23:00
99.11%,750.4MiB / 5GiB,2024-03-08 00:23:07
101.04%,750.8MiB / 5GiB,2024-03-08 00:23:14
99.67%,750.8MiB / 5GiB,2024-03-08 00:23:21
101.68%,751.1MiB / 5GiB,2024-03-08 00:23:28
99.41%,752.4MiB / 5GiB,2024-03-08 00:23:35
101.01%,752.4MiB / 5GiB,2024-03-08 00:23:42
99.19%,752.9MiB / 5GiB,2024-03-08 00:23:50
100.08%,752.7MiB / 5GiB,2024-03-08 00:23:57
99.92%,753.2MiB / 5GiB,2024-03-08 00:24:04
100.70%,753.2MiB / 5GiB,2024-03-08 00:24:11
100.63%,753.4MiB / 5GiB,2024-03-08 00:24:18
100.92%,753.8MiB / 5GiB,2024-03-08 00:24:25
99.55%,754.2MiB / 5GiB,2024-03-08 00:24:32
99.79%,917.4MiB / 5GiB,2024-03-08 00:24:39
99.69%,960MiB / 5GiB,2024-03-08 00:24:46
3.38%,393.9MiB / 5GiB,2024-03-08 00:24:53
0.03%,352.4MiB / 5GiB,2024-03-08 00:25:00
38.36%,444MiB / 5GiB,2024-03-08 00:25:07
99.84%,474.1MiB / 5GiB,2024-03-08 00:25:14
97.25%,490.4MiB / 5GiB,2024-03-08 00:25:21
97.17%,478.2MiB / 5GiB,2024-03-08 00:25:28
98.95%,528.5MiB / 5GiB,2024-03-08 00:25:35
99.02%,537.2MiB / 5GiB,2024-03-08 00:25:42
98.96%,543.3MiB / 5GiB,2024-03-08 00:25:50
98.69%,575.4MiB / 5GiB,2024-03-08 00:25:57
99.50%,585MiB / 5GiB,2024-03-08 00:26:04
99.94%,875.4MiB / 5GiB,2024-03-08 00:26:11
99.93%,908.3MiB / 5GiB,2024-03-08 00:26:18
99.94%,900MiB / 5GiB,2024-03-08 00:26:25
100.15%,919.1MiB / 5GiB,2024-03-08 00:26:32
99.87%,919.9MiB / 5GiB,2024-03-08 00:26:39
100.06%,878.9MiB / 5GiB,2024-03-08 00:26:46
100.10%,867MiB / 5GiB,2024-03-08 00:26:53
99.66%,867.5MiB / 5GiB,2024-03-08 00:27:00
99.78%,868.3MiB / 5GiB,2024-03-08 00:27:07
100.10%,869.3MiB / 5GiB,2024-03-08 00:27:14
99.45%,870.7MiB / 5GiB,2024-03-08 00:27:21
99.68%,870.9MiB / 5GiB,2024-03-08 00:27:28
100.25%,871.9MiB / 5GiB,2024-03-08 00:27:35
100.86%,873MiB / 5GiB,2024-03-08 00:27:42
100.87%,874MiB / 5GiB,2024-03-08 00:27:50
100.06%,874.6MiB / 5GiB,2024-03-08 00:27:57
100.51%,875.4MiB / 5GiB,2024-03-08 00:28:04
99.05%,876.6MiB / 5GiB,2024-03-08 00:28:11
101.50%,876.9MiB / 5GiB,2024-03-08 00:28:18
99.33%,877.8MiB / 5GiB,2024-03-08 00:28:25
102.30%,878.9MiB / 5GiB,2024-03-08 00:28:32
100.16%,879.6MiB / 5GiB,2024-03-08 00:28:39
99.62%,880MiB / 5GiB,2024-03-08 00:28:46
100.68%,882.5MiB / 5GiB,2024-03-08 00:28:53
100.60%,882.7MiB / 5GiB,2024-03-08 00:29:00
100.03%,883.7MiB / 5GiB,2024-03-08 00:29:07
101.95%,884.3MiB / 5GiB,2024-03-08 00:29:14
99.83%,885.1MiB / 5GiB,2024-03-08 00:29:21
99.77%,885.9MiB / 5GiB,2024-03-08 00:29:28
99.50%,887MiB / 5GiB,2024-03-08 00:29:35
101.00%,887.5MiB / 5GiB,2024-03-08 00:29:42
99.61%,888.6MiB / 5GiB,2024-03-08 00:29:49
99.95%,889.3MiB / 5GiB,2024-03-08 00:29:56
28.38%,342.3MiB / 5GiB,2024-03-08 00:30:03
0.02%,445.1MiB / 5GiB,2024-03-08 00:30:10
0.04%,403.7MiB / 5GiB,2024-03-08 00:30:18
20.78%,456.7MiB / 5GiB,2024-03-08 00:30:25
99.98%,480.8MiB / 5GiB,2024-03-08 00:30:32
98.69%,467MiB / 5GiB,2024-03-08 00:30:39
100.28%,509.2MiB / 5GiB,2024-03-08 00:30:46
98.72%,534.1MiB / 5GiB,2024-03-08 00:30:53
94.01%,545.9MiB / 5GiB,2024-03-08 00:31:00
98.20%,521.5MiB / 5GiB,2024-03-08 00:31:07
97.98%,552.4MiB / 5GiB,2024-03-08 00:31:14
98.75%,547.4MiB / 5GiB,2024-03-08 00:31:21
98.26%,847.4MiB / 5GiB,2024-03-08 00:31:28
98.39%,860.4MiB / 5GiB,2024-03-08 00:31:35
98.47%,887.5MiB / 5GiB,2024-03-08 00:31:42
99.41%,884MiB / 5GiB,2024-03-08 00:31:50
100.40%,887.6MiB / 5GiB,2024-03-08 00:31:57
101.25%,833.5MiB / 5GiB,2024-03-08 00:32:04
99.46%,834.4MiB / 5GiB,2024-03-08 00:32:11
101.79%,835.4MiB / 5GiB,2024-03-08 00:32:18
100.46%,836.5MiB / 5GiB,2024-03-08 00:32:25
99.55%,837.7MiB / 5GiB,2024-03-08 00:32:32
