92.80%,609.6MiB / 5GiB,2024-03-08 05:58:30
88.60%,609.7MiB / 5GiB,2024-03-08 05:58:37
84.28%,609.8MiB / 5GiB,2024-03-08 05:58:44
85.63%,609.6MiB / 5GiB,2024-03-08 05:58:51
88.11%,609.7MiB / 5GiB,2024-03-08 05:58:58
88.03%,609.7MiB / 5GiB,2024-03-08 05:59:05
90.20%,609.7MiB / 5GiB,2024-03-08 05:59:12
89.71%,609.4MiB / 5GiB,2024-03-08 05:59:19
91.99%,609.8MiB / 5GiB,2024-03-08 05:59:26
93.46%,609.6MiB / 5GiB,2024-03-08 05:59:33
93.85%,610.2MiB / 5GiB,2024-03-08 05:59:40
93.19%,609.9MiB / 5GiB,2024-03-08 05:59:47
92.00%,609.8MiB / 5GiB,2024-03-08 05:59:54
87.39%,610MiB / 5GiB,2024-03-08 06:00:02
88.22%,609.4MiB / 5GiB,2024-03-08 06:00:09
90.91%,609.5MiB / 5GiB,2024-03-08 06:00:16
86.65%,609.9MiB / 5GiB,2024-03-08 06:00:23
55.82%,262.2MiB / 5GiB,2024-03-08 06:00:30
0.02%,262MiB / 5GiB,2024-03-08 06:00:37
0.06%,229.7MiB / 5GiB,2024-03-08 06:00:44
0.03%,229.7MiB / 5GiB,2024-03-08 06:00:51
0.03%,229.7MiB / 5GiB,2024-03-08 06:00:58
0.06%,229.7MiB / 5GiB,2024-03-08 06:01:05
0.02%,229.7MiB / 5GiB,2024-03-08 06:01:12
0.06%,229.7MiB / 5GiB,2024-03-08 06:01:20
0.02%,229.7MiB / 5GiB,2024-03-08 06:01:27
0.02%,229.7MiB / 5GiB,2024-03-08 06:01:34
0.06%,229.7MiB / 5GiB,2024-03-08 06:01:41
61.01%,310.3MiB / 5GiB,2024-03-08 06:01:48
99.73%,387.7MiB / 5GiB,2024-03-08 06:01:55
99.12%,468MiB / 5GiB,2024-03-08 06:02:02
95.62%,555.4MiB / 5GiB,2024-03-08 06:02:09
99.65%,681.8MiB / 5GiB,2024-03-08 06:02:17
95.92%,707.8MiB / 5GiB,2024-03-08 06:02:24
102.58%,784.3MiB / 5GiB,2024-03-08 06:02:31
100.10%,795.6MiB / 5GiB,2024-03-08 06:02:38
97.25%,957.5MiB / 5GiB,2024-03-08 06:02:45
95.77%,986.4MiB / 5GiB,2024-03-08 06:02:52
99.29%,1004MiB / 5GiB,2024-03-08 06:02:59
98.50%,1017MiB / 5GiB,2024-03-08 06:03:06
101.97%,1.004GiB / 5GiB,2024-03-08 06:03:13
101.10%,1.015GiB / 5GiB,2024-03-08 06:03:20
99.43%,1.025GiB / 5GiB,2024-03-08 06:03:27
101.18%,1.035GiB / 5GiB,2024-03-08 06:03:34
100.16%,1.044GiB / 5GiB,2024-03-08 06:03:41
98.78%,1.054GiB / 5GiB,2024-03-08 06:03:48
98.71%,1.033GiB / 5GiB,2024-03-08 06:03:55
99.19%,1.042GiB / 5GiB,2024-03-08 06:04:03
98.87%,1.052GiB / 5GiB,2024-03-08 06:04:10
99.89%,1.061GiB / 5GiB,2024-03-08 06:04:17
99.84%,1.072GiB / 5GiB,2024-03-08 06:04:24
100.42%,897.1MiB / 5GiB,2024-03-08 06:04:31
98.96%,914.4MiB / 5GiB,2024-03-08 06:04:38
101.41%,929.8MiB / 5GiB,2024-03-08 06:04:45
99.46%,942MiB / 5GiB,2024-03-08 06:04:52
99.41%,954.1MiB / 5GiB,2024-03-08 06:04:59
96.57%,787.4MiB / 5GiB,2024-03-08 06:05:06
96.33%,788.2MiB / 5GiB,2024-03-08 06:05:13
95.98%,714.3MiB / 5GiB,2024-03-08 06:05:20
94.72%,714.5MiB / 5GiB,2024-03-08 06:05:27
97.56%,714.3MiB / 5GiB,2024-03-08 06:05:34
97.31%,714.8MiB / 5GiB,2024-03-08 06:05:41
96.72%,677.1MiB / 5GiB,2024-03-08 06:05:48
97.12%,677.1MiB / 5GiB,2024-03-08 06:05:55
97.81%,677.3MiB / 5GiB,2024-03-08 06:06:02
96.97%,677.4MiB / 5GiB,2024-03-08 06:06:10
96.24%,677.1MiB / 5GiB,2024-03-08 06:06:17
97.21%,677MiB / 5GiB,2024-03-08 06:06:24
96.07%,677.2MiB / 5GiB,2024-03-08 06:06:31
96.75%,677.2MiB / 5GiB,2024-03-08 06:06:38
96.74%,677.3MiB / 5GiB,2024-03-08 06:06:45
96.80%,677.2MiB / 5GiB,2024-03-08 06:06:52
97.32%,677.1MiB / 5GiB,2024-03-08 06:06:59
96.38%,677.1MiB / 5GiB,2024-03-08 06:07:06
98.20%,677MiB / 5GiB,2024-03-08 06:07:13
96.62%,677.3MiB / 5GiB,2024-03-08 06:07:20
97.63%,677MiB / 5GiB,2024-03-08 06:07:27
96.21%,677.3MiB / 5GiB,2024-03-08 06:07:34
96.49%,677.1MiB / 5GiB,2024-03-08 06:07:41
95.14%,677.2MiB / 5GiB,2024-03-08 06:07:48
96.89%,677.4MiB / 5GiB,2024-03-08 06:07:55
97.03%,677.1MiB / 5GiB,2024-03-08 06:08:02
97.48%,677.1MiB / 5GiB,2024-03-08 06:08:09
97.41%,677.2MiB / 5GiB,2024-03-08 06:08:17
96.67%,677MiB / 5GiB,2024-03-08 06:08:24
96.62%,677.1MiB / 5GiB,2024-03-08 06:08:31
96.95%,677.2MiB / 5GiB,2024-03-08 06:08:38
96.49%,677.2MiB / 5GiB,2024-03-08 06:08:45
96.73%,677.2MiB / 5GiB,2024-03-08 06:08:52
97.89%,677.3MiB / 5GiB,2024-03-08 06:08:59
96.98%,677.1MiB / 5GiB,2024-03-08 06:09:06
97.98%,677MiB / 5GiB,2024-03-08 06:09:13
95.90%,677.2MiB / 5GiB,2024-03-08 06:09:20
97.27%,677.1MiB / 5GiB,2024-03-08 06:09:27
97.65%,677.3MiB / 5GiB,2024-03-08 06:09:34
96.05%,677MiB / 5GiB,2024-03-08 06:09:41
97.83%,677.6MiB / 5GiB,2024-03-08 06:09:48
96.05%,677.1MiB / 5GiB,2024-03-08 06:09:55
96.33%,677.2MiB / 5GiB,2024-03-08 06:10:02
96.84%,677.3MiB / 5GiB,2024-03-08 06:10:09
95.91%,677.3MiB / 5GiB,2024-03-08 06:10:16
97.73%,677.1MiB / 5GiB,2024-03-08 06:10:23
97.27%,677.4MiB / 5GiB,2024-03-08 06:10:31
95.75%,677.1MiB / 5GiB,2024-03-08 06:10:38
97.07%,677.3MiB / 5GiB,2024-03-08 06:10:45
97.81%,677.6MiB / 5GiB,2024-03-08 06:10:52
97.17%,677.1MiB / 5GiB,2024-03-08 06:10:59
96.90%,677.2MiB / 5GiB,2024-03-08 06:11:06
96.68%,677.3MiB / 5GiB,2024-03-08 06:11:13
95.90%,677.1MiB / 5GiB,2024-03-08 06:11:20
96.04%,677.2MiB / 5GiB,2024-03-08 06:11:27
96.06%,677.7MiB / 5GiB,2024-03-08 06:11:34
96.91%,677.2MiB / 5GiB,2024-03-08 06:11:41
97.00%,677.2MiB / 5GiB,2024-03-08 06:11:48
95.69%,677.3MiB / 5GiB,2024-03-08 06:11:55
95.09%,677.1MiB / 5GiB,2024-03-08 06:12:02
96.80%,677.2MiB / 5GiB,2024-03-08 06:12:09
95.77%,677.1MiB / 5GiB,2024-03-08 06:12:16
95.36%,677.4MiB / 5GiB,2024-03-08 06:12:23
95.32%,677.6MiB / 5GiB,2024-03-08 06:12:30
95.34%,677.3MiB / 5GiB,2024-03-08 06:12:38
95.70%,677.2MiB / 5GiB,2024-03-08 06:12:45
96.35%,677.3MiB / 5GiB,2024-03-08 06:12:52
96.68%,677.3MiB / 5GiB,2024-03-08 06:12:59
96.89%,677.2MiB / 5GiB,2024-03-08 06:13:06
97.88%,677.2MiB / 5GiB,2024-03-08 06:13:13
94.77%,677.4MiB / 5GiB,2024-03-08 06:13:20
96.51%,677.1MiB / 5GiB,2024-03-08 06:13:27
95.22%,677.1MiB / 5GiB,2024-03-08 06:13:34
96.39%,677.1MiB / 5GiB,2024-03-08 06:13:41
96.49%,677.2MiB / 5GiB,2024-03-08 06:13:48
